Address3,County (name),EstablishmentName,Gender (name),LA (name),Locality,Postcode,StatutoryHighAge,StatutoryLowAge,Street,Town,TypeOfEstablishment (name),Easting,Northing
,,St Margaret Clitherow RC Primary School,Mixed,Brent,,NW10 0BG,11,3,Quainton Street,London,Voluntary Aided School,520508,185961
,,Michael Sobell Sinai School,Mixed,Brent,Kenton,HA3 9UD,11,3,Shakespeare Drive,Harrow,Voluntary Aided School,519138,188145
,,Oakington Manor Primary School,Mixed,Brent,,HA9 6NF,11,3,Oakington Manor Drive,Wembley,Foundation School,519960,185118
,,North West London Jewish Day School,Mixed,Brent,,NW6 7PP,11,3,180 Willesden Lane,London,Voluntary Aided School,524137,184374
,,Malorees Junior School,Mixed,Brent,,NW6 7PB,11,7,Christchurch Avenue,London,Foundation School,523903,184046
,,St Joseph's Roman Catholic Primary School,Mixed,Brent,Willesden,NW10 9LS,11,3,Goodson Road,London,Voluntary Aided School,521386,184266
,Middlesex,The Kilburn Park School Foundation,Mixed,Brent,,NW6 5RG,11,7,Malvern Road,London,Foundation School,524976,183008
,Middlesex,Copland Community School,Mixed,Brent,,HA9 7DU,18,11,Cecil Avenue,Wembley,Foundation School,518587,185103
,,St Gregory RC High School,Mixed,Brent,Kenton,HA3 0NB,18,11,Donnington Road,Harrow,Voluntary Aided School,517552,188564
,,Newman Catholic College,Boys,Brent,,NW10 3RN,19,11,Harlesden Road,London,Voluntary Aided School,522218,183549
,,Buckingham College Preparatory School,Mixed,Harrow,,HA5 5DT,11,4,458 Rayners Lane,Pinner,Other Independent School,512955,187969
,,Buxlow Preparatory School,Mixed,Brent,,HA9 7QJ,11,3,5/6 Castleton Gardens,Wembley,Other Independent School,518199,186137
,,Gower House School,Mixed,Brent,Kingsbury,NW9 8RR,11,3,5 Blackbird Hill,London,Other Independent School,520397,186627
,,St Christopher's School,Mixed,Brent,,HA9 8HE,11,4,71 Wembley Park Drive,Wembley,Other Independent School,518914,186169
,,St Nicholas School,Mixed,Brent,Kingsbury,NW9 8PN,11,3,22 Salmon Street,London,Other Independent School,520260,186843
,,"Ysgol Gymraeg Llundain, The Welsh School London",Mixed,Brent,Shakespeare Avenue,NW10 8NG,11,3,C/O Stonebridge Primary School,London,Other Independent School,520512,183840
,,Islamia Primary School,Mixed,Brent,,NW6 6PE,11,4,129 Salusbury Road,London,Voluntary Aided School,524372,183812
,,Islamia Girls' High School,Girls,Brent,,NW6 6PE,16,11,129 Salusbury Road,London,Other Independent School,524372,183812
,,Al-Sadiq and Al-Zahra Schools,Mixed,Brent,,NW6 6PF,16,4,134 Salusbury Road,London,Other Independent School,524291,183852
,,The Swaminarayan School,Mixed,Brent,Neasden,NW10 8HE,18,2,260 Brentfield Road,London,Other Independent School,520760,184703
,,Woodfield School,Mixed,Brent,Kingsbury,NW9 7LY,19,11,Glenwood Avenue,London,Community Special School,521103,187332
,,Phoenix Arch School,Mixed,Brent,,NW10 0NQ,11,4,Drury Way,London,Community Special School,520536,185282
,,Manor School,Mixed,Brent,Kensal Rise,NW10 3NT,11,4,Chamberlayne Road,London,Community Special School,523480,183473
,,The Village School,Mixed,Brent,Kingsbury,NW9 0JY,19,3,Grove Park,London,Community Special School,520242,189406
,Kent,Bromley Pupil Referral Service,Mixed,Bromley,,BR2 9EA,16,5,Hayes Lane,Bromley,Pupil Referral Unit,540858,168030
,,Alexandra Junior School,Mixed,Bromley,Sydenham,SE26 5DS,11,7,Cator Road,London,Community School,535952,170915
,Kent,Alexandra Infant School,Mixed,Bromley,,BR3 1JG,7,5,Kent House Road,Beckenham,Community School,535971,170058
,Kent,Bromley Road Infant School,Mixed,Bromley,,BR3 5JG,7,5,St George's Road,Beckenham,Community School,537570,169614
,Kent,Churchfields Primary School,Mixed,Bromley,,BR3 4QY,11,3,Churchfields Road,Beckenham,Community School,535968,169207
,Kent,Hawes Down Junior School,Mixed,Bromley,,BR4 0BA,11,7,The Mead,West Wickham,Community School,538909,166076
,Kent,Hawes Down Infant School,Mixed,Bromley,,BR4 0BA,7,5,The Mead,West Wickham,Community School,538909,166076
,Kent,Marian Vian Primary School,Mixed,Bromley,Elmers End,BR3 4AZ,11,5,Shirley Crescent,Beckenham,Community School,536074,167986
,Kent,Oak Lodge Primary School,Mixed,Bromley,,BR4 0LJ,11,5,Chamberlain Crescent,West Wickham,Community School,537549,166471
,Kent,Wickham Common Primary School,Mixed,Bromley,Coney Hall,BR4 9DG,11,4,Gates Green Road,West Wickham,Community School,540128,164832
,Kent,Worsley Bridge Junior School,Mixed,Bromley,,BR3 1RF,11,7,Brackley Road,Beckenham,Community School,537322,170426
,Kent,Burnt Ash Primary School,Mixed,Bromley,,BR1 4QX,11,5,Rangefield Road,Bromley,Community School,540044,171081
,Kent,Princes Plain Primary School,Mixed,Bromley,,BR2 8LD,11,3,Church Lane,Bromley,Community School,542428,166644
,Kent,Southborough Primary School,Mixed,Bromley,,BR2 8AA,11,5,Southborough Lane,Bromley,Community School,543289,167542
,Kent,Mead Road Infant School,Mixed,Bromley,,BR7 6AD,7,5,Mead Road,Chislehurst,Community School,544184,170942
,Kent,Red Hill Primary School,Mixed,Bromley,,BR7 6DA,11,4,Red Hill,Chislehurst,Community School,543518,171152
,,Mottingham Primary School,Mixed,Bromley,Mottingham,SE9 4LW,11,4,Ravensworth Road,London,Community School,542749,172064
,,Castlecombe Primary School,Mixed,Bromley,Mottingham,SE9 4AT,11,5,Castlecombe Road,London,Community School,542250,171446
,,Dorset Road Infant School,Mixed,Bromley,Mottingham,SE9 4QX,7,5,Dorset Road,London,Community School,542188,172762
,Kent,Chelsfield Primary School,Mixed,Bromley,Chelsfield,BR6 6EP,11,4,Warren Road,Orpington,Community School,548238,164217
,Kent,Darrick Wood Junior School,Mixed,Bromley,,BR6 8ER,11,7,Lovibonds Avenue,Orpington,Community School,543802,164935
,Kent,Downe Primary School,Mixed,Bromley,Downe,BR6 7JN,11,5,High Elms Road,Orpington,Community School,543350,161795
,Kent,Farnborough Primary School,Mixed,Bromley,Farnborough,BR6 7EQ,11,5,Farnborough Hill,Orpington,Community School,544497,164204
,Kent,Pratts Bottom Primary School,Mixed,Bromley,Pratts Bottom,BR6 7NX,11,5,Hookwood Road,Orpington,Community School,547345,161874
,Kent,St Mary Cray Primary School,Mixed,Bromley,St Mary Cray,BR5 4AR,11,4,High Street,Orpington,Community School,547207,167462
,Kent,The Highway Primary School,Mixed,Bromley,,BR6 9DJ,11,5,The Highway,Orpington,Community School,547078,164431
,,Malcolm Primary School,Mixed,Bromley,Penge,SE20 8RH,11,3,Malcolm Road,London,Community School,535074,170377
,,Royston Primary School,Mixed,Bromley,Penge,SE20 7QR,11,3,High Street,London,Community School,535805,169952
,,James Dixon Primary School,Mixed,Bromley,Anerley,SE20 8BW,11,3,William Booth Road,London,Community School,534388,169775
,Kent,Gray's Farm Primary School,Mixed,Bromley,St Paul's Cray,BR5 3AD,11,4,Gray's Farm Road,Orpington,Community School,546977,169671
,Kent,Leesons Primary School,Mixed,Bromley,St Paul's Cray,BR5 2GA,11,5,Leesons Hill,Orpington,Community School,546538,168730
,Kent,Midfield Primary School,Mixed,Bromley,,BR5 3EG,11,3,Grovelands Road,Orpington,Community School,546304,170044
,Kent,Edgebury Primary School,Mixed,Bromley,,BR7 6BL,11,4,Belmont Lane,Chislehurst,Community School,544161,171654
,Kent,Scotts Park Primary School,Mixed,Bromley,,BR1 2PR,11,4,Orchard Road,Bromley,Community School,541307,169936
,Kent,Oaklands Primary School,Mixed,Bromley,Biggin Hill,TN16 3DN,11,5,Oaklands Lane,Westerham,Community School,541217,159337
,Kent,Clare House Primary School,Mixed,Bromley,,BR3 6PJ,11,4,Oakwood Avenue,Beckenham,Community School,538295,169170
,Kent,Perry Hall Primary School,Mixed,Bromley,,BR6 0EF,11,5,Perry Hall Road,Orpington,Community School,545845,167071
,Kent,Poverest Primary School,Mixed,Bromley,St Mary Cray,BR5 2JD,11,4,Tillingbourne Green,Orpington,Community School,546288,167923
,Kent,Raglan Primary School,Mixed,Bromley,,BR2 9NL,11,4,Raglan Road,Bromley,Foundation School,541482,168152
,Kent,Keston Church of England Primary School,Mixed,Bromley,,BR2 6BN,11,5,Lakes Road,Keston,Voluntary Controlled School,541578,164419
,Kent,Parish Church of England Primary School,Mixed,Bromley,,BR1 4HF,11,4,London Lane,Bromley,Voluntary Controlled School,540189,170454
,Kent,"St George's, Bickley, Church of England Primary School",Mixed,Bromley,,BR1 2RL,11,4,Tylney Road,Bromley,Voluntary Controlled School,541613,169084
,Kent,Cudham Church of England Primary School,Mixed,Bromley,Biggin Hill,TN16 3AX,11,4,Jail Lane,Westerham,Voluntary Controlled School,543297,159316
,Kent,St Paul's Cray Church of England Primary School,Mixed,Bromley,,BR5 3WD,11,3,Buttermere Road,Orpington,Voluntary Controlled School,547653,168586
,Kent,St Mark's Church of England Primary School,Mixed,Bromley,,BR2 0QR,11,5,Aylesbury Road,Bromley,Voluntary Aided School,540034,168617
,Kent,Chislehurst (St Nicholas) Church of England Voluntary Aided Primary School,Mixed,Bromley,The Common,BR7 5PQ,11,4,School Road,Chislehurst,Voluntary Aided School,544251,170018
,,St John's Church of England Primary School,Mixed,Bromley,Penge,SE20 8HU,11,4,Maple Road,London,Voluntary Aided School,535339,170261
,Kent,St Joseph's Catholic Primary School,Mixed,Bromley,,BR1 3JQ,11,4,Plaistow Lane,Bromley,Voluntary Aided School,540989,170054
,,St Vincent's Catholic Primary School,Mixed,Bromley,Mottingham,SE9 4JR,11,4,Harting Road,London,Voluntary Aided School,542165,171978
,Kent,St Philomena's Roman Catholic Primary School,Mixed,Bromley,,BR5 4DR,11,5,Chelsfield Road,Orpington,Voluntary Aided School,547305,166927
,,St Anthony's Roman Catholic Primary School,Mixed,Bromley,Anerley,SE20 8ES,11,4,Genoa Road,London,Voluntary Aided School,535068,169647
,Kent,St Peter and St Paul Catholic Primary School,Mixed,Bromley,St Paul's Cray,BR5 2SR,11,5,St Paul's Wood Hill,Orpington,Voluntary Aided School,545462,169221
,Kent,Holy Innocents Catholic Primary School,Mixed,Bromley,,BR6 9JT,11,5,Mitchell Road,Orpington,Voluntary Aided School,545698,165100
,Kent,"St Mary's Catholic Primary School, Beckenham",Mixed,Bromley,,BR3 5DE,11,4,Westgate Road,Beckenham,Voluntary Aided School,538036,170350
,Kent,Highfield Infants' School,Mixed,Bromley,Shortlands,BR2 0RX,7,5,Highfield Drive,Bromley,Foundation School,539471,168333
,Kent,Highfield Junior School,Mixed,Bromley,Shortlands,BR2 0RL,11,7,South Hill Road,Bromley,Foundation School,539328,168292
,Kent,St Olave's and St Saviour's Grammar School,Boys,Bromley,,BR6 9SH,18,11,Goddington Lane,Orpington,Voluntary Aided School,546558,165140
,Kent,Babington House School,Mixed,Bromley,,BR7 5ES,16,3,Grange Drive,Chislehurst,Other Independent School,542607,170812
,Kent,Bickley Park School,Mixed,Bromley,Bickley,BR1 2DS,13,2,24 Page Heath Lane,Bromley,Other Independent School,542275,168896
,Kent,Bishop Challoner School,Mixed,Bromley,Shortlands,BR2 0BS,18,2,228 Bromley Road,Bromley,Other Independent School,538945,169431
,Kent,Breaside Preparatory School,Mixed,Bromley,,BR1 2PR,11,2,41-43 Orchard Road,Bromley,Other Independent School,541581,169851
,Kent,Farringtons School,Mixed,Bromley,,BR7 6LR,18,3,Perry Street,Chislehurst,Other Independent School,544956,170418
,Kent,St Christophers The Hall School,Mixed,Bromley,,BR3 5PA,11,2,49 Bromley Road,Beckenham,Other Independent School,538284,169385
,Kent,St David's College,Mixed,Bromley,Beckenham Road,BR4 0QS,11,4,Justin Hall,West Wickham,Other Independent School,537909,166748
,Kent,Bromley High School,Girls,Bromley,Bickley,BR1 2TW,18,4,Blackbrook Lane,Bromley,Other Independent School,543210,168259
,,Eltham College,Mixed,Bromley,Mottingham,SE9 4QF,19,7,Grove Park Road,London,Other Independent School,541794,172968
,Kent,Ashgrove School Ltd,Mixed,Bromley,,BR1 3BE,11,3,116 Widmore Road,Bromley,Other Independent School,540963,169466
,Kent,Darul Uloom London,Boys,Bromley,Off Perry Street,BR7 6SD,19,11,Foxbury Avenue,Chislehurst,Other Independent School,545057,170728
,Kent,Marjorie McClure School,Mixed,Bromley,,BR7 5PS,18,3,Hawkwood Lane,Chislehurst,Community Special School,544319,169675
,Kent,Glebe School,Mixed,Bromley,,BR4 9AE,16,11,Hawes Lane,West Wickham,Foundation Special School,538913,165987
,,Crosfield Nursery School,Mixed,Croydon,South Norwood,SE25 5BD,5,3,Elborough Road,London,LA Nursery School,534285,167830
,Surrey,Coulsdon Nursery School,Mixed,Croydon,,CR5 3BT,5,3,Linden Avenue,Coulsdon,LA Nursery School,528877,159432
,Surrey,Purley Nursery School,Mixed,Croydon,,CR8 2NE,5,3,58 Pampisford Road,Purley,LA Nursery School,531478,161952
,Surrey,Tunstall Nursery School,Mixed,Croydon,,CR0 6TY,5,3,Tunstall Road,Croydon,LA Nursery School,533445,166142
,Surrey,The Coningsby Pupil Referral Unit,Mixed,Croydon,,CR0 1BQ,16,11,45 Coombe Road,Croydon,Pupil Referral Unit,532730,164860
Southbridge Place,Surrey,Victoria House PRU,Mixed,Croydon,Victoria House,CR0 4HA,11,5,Southbridge Place,Croydon,Pupil Referral Unit,531998,164894
,Surrey,Benson Primary and Nursery School,Mixed,Croydon,Shirley,CR0 8RQ,11,3,West Way,Croydon,Community School,536366,165280
,Surrey,Beulah Junior School,Mixed,Croydon,,CR7 8JF,11,7,Beulah Road,Thornton Heath,Community School,532319,168968
,Surrey,Beulah Infants' School,Mixed,Croydon,,CR7 8NJ,7,3,Furze Road,Thornton Heath,Community School,532341,168918
,,Cypress Primary School,Mixed,Croydon,,SE25 4AU,11,3,Cypress Road,London,Community School,533426,169417
,Surrey,Elmwood Junior School,Mixed,Croydon,,CR0 2PL,11,7,Lodge Road,Croydon,Community School,531899,166938
,Surrey,Elmwood Infant School,Mixed,Croydon,,CR0 2PL,7,3,Lodge Road,Croydon,Community School,531899,166938
,Surrey,Howard Primary School,Mixed,Croydon,,CR0 1DT,11,4,Dering Place,Croydon,Community School,532255,164547
,Surrey,Monks Orchard School,Mixed,Croydon,Shirley,CR0 7UF,11,3,The Glade,Croydon,Community School,535862,167610
,,Ryelands Primary School,Mixed,Croydon,South Norwood,SE25 4QL,11,3,Albert Road,London,Community School,534919,167791
,Surrey,Purley Oaks Primary School,Mixed,Croydon,,CR2 0PR,11,3,Bynes Road,South Croydon,Community School,532675,163281
,,South Norwood Primary School,Mixed,Croydon,South Norwood,SE25 5QP,11,4,34 Crowther Road,London,Community School,534121,168019
,Surrey,St Peter's Primary School,Mixed,Croydon,,CR2 7AR,11,4,Normanton Road,South Croydon,Community School,533097,163788
,Surrey,Winterbourne Junior Boys' School,Boys,Croydon,,CR7 7QT,11,7,Winterbourne Road,Thornton Heath,Community School,531246,168384
,Surrey,Winterbourne Junior Girls' School,Girls,Croydon,,CR7 7QT,11,7,Winterbourne Road,Thornton Heath,Community School,531246,168384
,Surrey,Winterbourne Nursery and Infants' School,Mixed,Croydon,,CR7 7QT,7,3,Winterbourne Road,Thornton Heath,Community School,531246,168384
,Surrey,Wolsey Junior School,Mixed,Croydon,New Addington,CR0 0PH,11,7,King Henry's Drive,Croydon,Community School,538423,162936
,Surrey,Wolsey Infant School,Mixed,Croydon,New Addington,CR0 0PA,7,3,King Henry's Drive,Croydon,Community School,538488,162969
,Surrey,Woodside Primary School and Children's Centre,Mixed,Croydon,,CR0 6NF,11,3,Morland Road,Croydon,Community School,534078,166848
,Surrey,Chipstead Valley Primary School,Mixed,Croydon,,CR5 3BW,11,4,Chipstead Valley Road,Coulsdon,Community School,528288,159114
,Surrey,Kenley Primary School,Mixed,Croydon,,CR3 0EX,11,4,New Barn Lane,Whyteleafe,Community School,533477,159145
,Surrey,Beaumont Primary School,Mixed,Croydon,,CR8 4DN,11,4,Old Lodge Lane,Purley,Community School,531004,160459
,Surrey,Roke Primary School,Mixed,Croydon,,CR8 5NF,11,3,51 Little Roke Road,Kenley,Community School,532253,160266
,Surrey,Gresham Primary School,Mixed,Croydon,Sanderstead,CR2 9EA,11,4,Limpsfield Road,South Croydon,Community School,534004,161153
,Surrey,Smitham Primary School,Mixed,Croydon,,CR5 3DE,11,3,Portnalls Road,Coulsdon,Community School,529438,159363
,Surrey,The Hayes Primary School,Mixed,Croydon,,CR8 5JN,11,4,Hayes Lane,Kenley,Community School,531884,159210
,Surrey,Applegarth School,Mixed,Croydon,New Addington,CR0 9DL,11,3,Bygrove Fieldway,Croydon,Community School,537538,163605
,Surrey,Park Hill Junior School,Mixed,Croydon,,CR0 5NS,11,7,Stanhope Road,Croydon,Foundation School,533096,165224
,Surrey,Wattenden Primary School,Mixed,Croydon,,CR8 4AZ,11,3,Old Lodge Lane,Purley,Community School,531520,159048
,Surrey,Orchard Way Primary School,Mixed,Croydon,Shirley,CR0 7NJ,11,4,Orchard Way,Croydon,Community School,536450,166733
,Surrey,Forestdale Primary School,Mixed,Croydon,,CR0 9JE,11,4,Pixton Way,Croydon,Community School,536631,162965
,Surrey,Courtwood Primary School,Mixed,Croydon,Addington,CR0 9HX,11,4,Courtwood Lane,Croydon,Community School,536768,162439
,,Heavers Farm Primary School,Mixed,Croydon,South Norwood,SE25 6LT,11,3,58 Dinsdale Gardens,London,Community School,533582,167776
,,Downsview Primary and Nursery School,Mixed,Croydon,Upper Norwood,SE19 3XE,11,3,Biggin Way,London,Community School,532089,170181
,Surrey,Park Hill Infant School,Mixed,Croydon,,CR0 5NS,7,5,Stanhope Road,Croydon,Community School,533103,165267
,Surrey,Greenvale Primary School,Mixed,Croydon,Selsdon Vale,CR2 8PR,11,4,Sandpiper Road,South Croydon,Community School,535795,161822
,,Rockmount Primary School,Mixed,Croydon,Upper Norwood,SE19 3ST,11,3,Chevening Road,London,Community School,532922,170668
,Surrey,Fairchildes Primary School,Mixed,Croydon,New Addington,CR0 0AH,11,3,Fairchildes Avenue,Croydon,Community School,539271,161391
,,Norbury Manor Primary School,Mixed,Croydon,Norbury,SW16 5QR,11,3,Abingdon Road,London,Community School,530283,169557
,Surrey,Castle Hill Primary School,Mixed,Croydon,New Addington,CR0 0RJ,11,3,Dunley Drive,Croydon,Community School,538083,163637
,,All Saints CofE Primary School,Mixed,Croydon,Upper Norwood,SE19 3LG,11,3,Upper Beulah Hill,London,Voluntary Aided School,533166,169871
,Surrey,St John's CofE Primary School,Mixed,Croydon,Shirley,CR0 5EL,11,4,Spring Park Road,Croydon,Voluntary Aided School,535847,165564
,,St Mark's CofE Primary School,Mixed,Croydon,South Norwood,SE25 4JD,11,4,Albert Road,London,Voluntary Controlled School,534245,168413
,Surrey,Parish Church CofE Junior School,Mixed,Croydon,,CR0 4BH,11,7,Warrington Road,Croydon,Voluntary Controlled School,531669,165077
,Surrey,Parish Church CofE Nursery and Infant School,Mixed,Croydon,,CR0 4BH,7,3,Warrington Road,Croydon,Voluntary Controlled School,531669,165077
,Surrey,Coulsdon CofE Primary School,Mixed,Croydon,Old Coulsdon,CR5 1ED,11,4,Bradmore Green,Coulsdon,Voluntary Aided School,530879,158235
,Surrey,Christ Church CofE Primary School (Purley),Mixed,Croydon,,CR8 2QE,11,4,Montpelier Road,Purley,Voluntary Aided School,531675,162092
,Surrey,Good Shepherd Catholic Primary School,Mixed,Croydon,New Addington,CR0 0RG,11,3,Dunley Drive,Croydon,Voluntary Aided School,537845,163368
,,St Joseph's RC Junior School,Mixed,Croydon,,SE19 3NU,11,7,Woodend,London,Voluntary Aided School,532238,170854
,Surrey,Margaret Roper Catholic Primary School,Mixed,Croydon,,CR8 2XP,11,4,Russell Hill Road,Purley,Voluntary Aided School,531024,162230
